CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5919035,1.95,5.41,12.66,22,17,5,5,2,8,32.41,46.1,118,34.11,7.07,36.06,6.68,6.49
5919043,2.11,5.59,11.15,27,22,2,7,2,6,31.64,43.5,88.38,35.58,7.38,37.69,6.96,6.83
5919046,2.16,5.71,11.85,26,22,4,7,2,6,33.71,44.7,88.38,35.65,7.4,37.8,6.98,6.83
5919049,2.15,5.69,11.81,26,21,3,7,2,6,33.33,44,88.38,35.62,7.39,37.77,6.97,6.84
5919051,2.07,5.45,12.34,24,18,4,6,2,6,35.46,47.3,101.29,35.93,7.44,38.01,7.03,6.91
5919801,2.29,6.04,12.6,26,20,4,7,2,6,38.13,46.1,88.25,35.67,7.43,37.96,6.98,6.72
5919802,2.07,5.48,14.78,20,17,4,4,2,6,37.46,49.6,143.4,35.69,7.41,37.76,7,6.77
5919803,2.21,5.84,12.62,25,17,4,6,2,8,24.39,50.4,100.86,35.64,7.42,37.85,6.99,6.8
5919804,2.28,6,13.02,25,19,4,6,2,8,24.86,49.3,100.86,35.69,7.44,37.97,6.99,6.75
5919809,2.18,5.78,13,24,17,4,6,2,6,37.63,47.2,101.71,35.59,7.41,37.77,6.98,6.79
5919812,2.17,6.01,11.92,26,17,5,6,1,8,24.32,23.5,100.43,33.95,7.08,36.12,6.66,6.49
5919814,1.84,5.11,11.97,22,15,5,6,1,8,28.48,21.6,100.43,34.27,7.07,36.12,6.71,6.58
5919815,2.17,5.76,11.07,28,22,2,6,2,8,22.7,46.1,100.43,35.52,7.38,37.69,6.95,6.81
5919816,2.25,5.92,12.85,25,19,4,5,2,8,22.68,47.3,118.17,35.72,7.44,37.97,7,6.75
5919818,2.06,5.47,11.75,25,21,3,7,2,6,32.49,45.8,88.38,35.56,7.37,37.61,6.97,6.83
5919820,2.06,5.47,11.75,25,21,3,7,2,6,32.49,45.8,88.38,35.56,7.37,37.61,6.97,6.83
5919821,2.28,6,11.22,29,23,2,7,2,6,35.18,42.1,88.38,35.72,7.45,38,7,6.86
5919822,2.06,5.43,12.8,23,19,4,5,2,6,36.2,48.6,118.5,35.92,7.43,37.98,7.03,6.88
5921007,2.16,5.69,13.99,22,17,5,5,2,8,23.35,49.2,118,35.7,7.42,37.86,7,6.76
5921008,1.9,5.17,12.94,21,16,5,5,2,6,30.93,45.2,118.83,34.91,7.22,36.81,6.85,6.67
5921010,2.28,5.99,13.57,24,20,5,6,2,8,23.64,47.7,100.86,35.8,7.46,38.08,7.02,6.8
5921014,2.32,6.08,13.26,25,20,5,7,2,6,26.31,45.3,88.5,35.84,7.48,38.16,7.02,6.77
5921016,2.12,5.68,13.78,22,16,5,6,2,8,23.16,48.5,100.86,35.27,7.33,37.4,6.91,6.66
5921018,1.85,5.02,12.59,21,19,5,6,1,6,28.14,21.3,101.57,35.05,7.24,36.9,6.87,6.65
5921023,1.82,4.92,10.81,24,19,4,8,1,6,27.86,21.5,78.67,35.11,7.24,36.93,6.89,6.65
5921030,1.89,5.12,12.24,22,16,5,7,1,6,29.07,21.6,88.5,34.97,7.23,36.85,6.86,6.66
5921032,1.73,4.68,11.74,21,17,5,6,1,6,25.71,20.8,101.57,35.16,7.23,36.89,6.9,6.65
5921034,1.84,4.99,11.97,22,19,5,7,1,6,28.74,21.8,88.62,35.08,7.24,36.92,6.88,6.65
5921036,1.77,4.73,10.55,24,16,4,6,1,6,24.87,19.6,101.57,35.7,7.35,37.48,7,6.91
5921804,2.2,5.81,13.66,23,16,5,5,2,8,22.3,47.8,118,35.66,7.42,37.86,6.99,6.74
5921805,1.82,4.94,12.41,21,16,5,7,1,6,27.83,21.4,88.12,35.07,7.24,36.89,6.88,6.63
5921806,1.81,4.88,10.77,24,20,3,6,1,6,27.3,21.1,101.86,35.27,7.27,37.08,6.92,6.69
5921807,2.31,6.06,13.73,24,19,5,6,2,8,24.46,46.8,100.86,35.79,7.47,38.1,7.01,6.78
5923008,1.62,4.34,11.56,20,17,3,6,0,6,21.72,0,101.57,35.63,7.3,37.25,6.99,6.91
5923019,2.51,6.54,6.65,54,25,2,11,0,21,14.57,0,55.17,35.87,7.51,38.38,7.02,6.87
5923025,2.54,6.63,6.48,56,26,1,10,0,21,20.56,0,60.64,35.8,7.5,38.33,7,6.88
5923033,2.05,5.39,10.46,28,25,4,7,0,14,24.07,0,87.5,36.01,7.46,38.06,7.06,6.96
5923035,1.83,4.81,11.34,23,20,4,6,0,7,23.56,0,101.29,36.15,7.44,37.97,7.09,7.01
5923037,1.98,5.21,10.9,26,23,4,7,0,7,23.75,0,88.25,36.07,7.46,38.06,7.07,6.96
5923039,1.77,4.68,11.47,22,19,4,6,0,7,23.7,0,101.14,35.99,7.4,37.76,7.06,6.99
